Player,Position,Team,Goals,Assists,Points,PlusMinus,PIM
Alexander Wennberg,Forward,CBJ,8,32,40,-1,2
Nick Leddy,Defense,NYI,5,35,40,-9,25
Jamie McGinn,Forward,TOT,22,17,39,-7,33
Jakob Silfverberg,Forward,ANA,20,19,39,8,32
Troy Brouwer,Forward,STL,18,21,39,2,62
Carl Hagelin,Forward,TOT,14,25,39,8,32
Ales Hemsky,Forward,DAL,13,26,39,3,20
Eric Staal,Forward,TOT,13,26,39,-3,34
Sean Couturier,Forward,PHI,11,28,39,8,30
Elias Lindholm,Forward,CAR,11,28,39,-23,24
John Carlson,Defense,WSH,8,31,39,16,14
Marc-Edouard Vlasic,Defense,SJS,8,31,39,15,48
Jannik Hansen,Forward,VAN,22,16,38,16,32
Drew Stafford,Forward,WPG,21,17,38,-23,28
Andre Burakovsky,Forward,WSH,17,21,38,4,12
Antoine Vermette,Forward,ARI,17,21,38,-14,93
Nikolaj Ehlers,Forward,WPG,15,23,38,3,21
Kris Versteeg,Forward,TOT,15,23,38,0,45
Mike Cammalleri,Forward,NJD,14,24,38,15,18
Tyler Johnson,Forward,TBL,14,24,38,4,20
Sami Vatanen,Defense,ANA,9,29,38,8,20
Craig Smith,Forward,NSH,21,16,37,4,40
Robby Fabbri,Forward,STL,18,19,37,-2,25
Justin Faulk,Defense,CAR,16,21,37,-22,27
Matt Beleskey,Forward,BOS,15,22,37,6,65
Tobias Rieder,Forward,ARI,14,23,37,-21,10
Nick Foligno,Forward,CBJ,12,25,37,-14,53
Zdeno Chara,Defense,BOS,9,28,37,12,71
Alex Pietrangelo,Defense,STL,7,30,37,10,20
Alex Goligoski,Defense,DAL,5,32,37,21,34
Zack Smith,Forward,OTT,25,11,36,16,80
Leo Komarov,Forward,TOR,19,17,36,-12,40
Sam Bennett,Forward,CGY,18,18,36,-11,37
Logan Couture,Forward,SJS,15,21,36,2,20
Aaron Ekblad,Defense,FLA,15,21,36,18,41
Anders Lee,Forward,NYI,15,21,36,-2,51
Rick Nash,Forward,NYR,15,21,36,8,30
Tanner Pearson,Forward,LAK,15,21,36,11,18
Kevin Hayes,Forward,NYR,14,22,36,4,30
Benoit Pouliot,Forward,EDM,14,22,36,-6,30
Blake Comeau,Forward,COL,12,24,36,-9,58
David Perron,Forward,TOT,12,24,36,-1,62
Joonas Donskoi,Forward,SJS,11,25,36,4,20
Jason Pominville,Forward,MIN,11,25,36,10,12
Morgan Rielly,Defense,TOR,9,27,36,-17,28
Michael Stone,Defense,ARI,6,30,36,-10,62
Evander Kane,Forward,BUF,20,15,35,-14,91
Cody Eakin,Forward,DAL,16,19,35,3,42
Vladislav Namestnikov,Forward,TBL,14,21,35,17,45
Teuvo Teravainen,Forward,CHI,13,22,35,-2,20
Tyler Bozak,Forward,TOR,12,23,35,-9,18
Mattias Ekholm,Defense,NSH,8,27,35,14,44
Alex Tanguay,Forward,TOT,8,27,35,8,32
Mike Green,Defense,DET,7,28,35,-6,38
Nick Bjugstad,Forward,FLA,15,19,34,-8,41
Erik Haula,Forward,MIN,14,20,34,21,24
Andrew Shaw,Forward,CHI,14,20,34,11,69
Ryan Nugent-Hopkins,Forward,EDM,12,22,34,-9,18
Jori Lehtera,Forward,STL,9,25,34,12,38
Ryan McDonagh,Defense,NYR,9,25,34,26,22
Anton Stralman,Defense,TBL,9,25,34,16,20
Francois Beauchemin,Defense,COL,8,26,34,-7,38
Marian Hossa,Forward,CHI,13,20,33,10,24
Brian Gionta,Forward,BUF,12,21,33,-5,12
Colton Parayko,Defense,STL,9,24,33,28,29
Matt Cullen,Forward,PIT,16,16,32,5,20
Michael Frolik,Forward,CGY,15,17,32,1,24
Josh Bailey,Forward,NYI,12,20,32,-7,22
Ryan Ellis,Defense,NSH,10,22,32,13,35
Andrew Cogliano,Forward,ANA,9,23,32,2,28
Matt Niskanen,Defense,WSH,5,27,32,10,38
Dion Phaneuf,Defense,TOT,4,28,32,-7,90
Michael Raffl,Forward,PHI,13,18,31,9,30
Brad Richardson,Forward,ARI,11,20,31,8,46
Alec Martinez,Defense,LAK,10,21,31,16,40
Valtteri Filppula,Forward,TBL,8,23,31,-6,46
Jake Gardiner,Defense,TOR,7,24,31,-15,32
Brian Campbell,Defense,FLA,6,25,31,31,26
Seth Jones,Defense,TOT,3,28,31,-14,22
Calle Jarnkrok,Forward,NSH,16,14,30,1,14
Kyle Turris,Forward,OTT,13,17,30,-15,32
Jesper Fast,Forward,NYR,10,20,30,9,18
Casey Cizikas,Forward,NYI,8,22,30,4,31
Andrej Sekera,Defense,EDM,6,24,30,-15,12
Mattias Janmark,Forward,DAL,15,14,29,12,16
